43,RIHMI-WDC,Russian Fed.,This Russian dataset in CRUTEM has a complex history - website likely not updated,Razuvaev & Bulgina (2009),http://meteo.ru/english/climate/cl_data.php  - Olga Bulygina died a few years ago (website) - most recent updates from GSOD,HOM02,,2012?,Homogenized? Yes
44,RCC-SSA,Subset of S America,Series provided by the Regional Climate  Center for the South of South America,,http://www.climax-sa.org/ppts/KOM_2016-oct/CLIMAX-KOM_RCC-SSA_PaulaEtala.pdf and/or contact mms@smn.gov.ar (Maru - this is Maria's preferred name),HOM02,1961,2016?,Homogenized? Yes
45,SNIFFER,Scotland/N Ireland,Climate series prepared by the Climatic Research Unit for Scottish & NI Forum for Env. Research,Jones & Lister (2004),https://crudata.uea.ac.uk/cru/data/sniffer/,HOM03,,2003,Homogenized? Yes ; Pairwise comparisons homogeneity
46,Kenya Met. Dept,Kenya,"Following a request to the Kenya Met. Department, a few series were provided",,director@meteo.go.ke,HOM00,,,Homogenized? No
47,University of Copenhagen,Greenland,Early observations from the S and W coasts of Greenland have extended the series,"Vinther et al. (2006); Cappeln (2010, 2011)",https://crudata.uea.ac.uk/cru/data/greenland/,HOM03,,2013,Homogenized? Yes ; Homogeneity checked via differences between time series for neighbouring stations
48,DMI,Danish territories,"DMI publish homogenized series for Greenland, Denmark and Faero","Cappeln (2010, 2011)",DMI climate contact is John Cappelen - reports usually available from http://research.dmi.dk/publications/other-publications/reports/,HOM03,,,Homogenized? Yes
49,HISTALP Project,Greater Alpine region,Historical Instrumental Climatological Surface Time Series for the Greater Alpine Region,Böhm et al. (2010),http://www.zamg.ac.at/histalp/,HOM02,,,"Homogenized? Yes ; Homogeneity relies on tests by others (e,g, NACD above) and some visual checks"
50,NSIDC,Central Asia,National Snow and Ice Data Center (focus on Central Asia),Williams & Konovalov (2008),https://nsidc.org/data/G02174,HOM02,1879,2003,Homogenized? Yes ; Homogeneity relies on GHCN - so PHA it seems
51,RIHMI ###,RUSSIA (USSR),Collection of 223 former USSR temperature series - mostly present under new Scodes,,https://www.osti.gov/dataexplorer/biblio/dataset/1394937,HOM01,,,Homogenized? No?
53,NMAs (various),Miscellaneous,Data received from national met. agencies after a consultations - 2010,,,HOM01,,,Homogenized? No
54,Bekryaev,High lat. - N Hem.,Voeikov Main Geophysical Observatory/St. Petersburg State University,Bekryaev et al. (2010),https://doi.org/10.1175/2010JCLI3297.1,HOM01,,,Homogenized? No? ; Many sources of data - some of which would be homogenized
55,KNMI,Netherlands,KNMI long series towards the Central Netherlands Temperature Series,,https://cp.copernicus.org/articles/7/527/2011/,HOM03,,,Homogenized? Yes ; Homogeneity via differences between time series and a reference time series
56,NMI,Norway,Met. Norway homogenized data series,,"Eklima (registration required) is at:  http://sharki.oslo.dnmi.no/portal/page?_pageid=73,39035,73_39049&_dad=portal&_schema=PORTAL",HOM03,,ca. 2012,Homogenized? Yes ; Homogeneity via SNHT
57,"BoM, ACORN",Australia,The ACORN dataset is produced by BoM - now  ACORN 2 data (second version),,https://doi.org/10.1175/2010JCLI3297.1,HOM03,1910,2016,Homogenized? Yes ; ACORN v2 - released 2018 - uses multiple detection methods in parallel
58,ISTI,Global - selected series,Data held by the Internalional Surface Temperature Initiative - usually Tx and Tn only,,See http://www.surfacetemperatures.org/  and  ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/,HOM01,,,Homogenized? No
59,IIF-UMSA Bolivia,Bolivia,Eight series originally received via personal contact - some now with diffearent Scodes,,https://www2.atmos.umd.edu/~mandrade/resume/resume.html,HOM01,,,Homogenized? No?
60,SACA&D,South Asian-Australia,KNMI-BMKG (Indonesia) S.E. Asian Climate Assessment and Dataset (11 participants/15 countries),,http://sacad.database.bmkg.go.id/,HOM01,,,Homogenized? No ; Homogeneity is only checked for blended series
61,ISTI,Germany + Poland,Long series from the International Surface Temperature Initiative (monthly data) -  given a separate S code,,ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/monthly/stage2/,HOM01,,,Homogenized? No
62,ISTI-Colonial,Malaysia,"Colonial era series (Petersen and Griffiths, 1996) - here via ISTI - separate Scode used",,There is further reference to Colonial era data below (Scode=79) - ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/monthly/stage2/colonialera/,HOM00,,,Homogenized? No
63,University of Alabama,Uganda,Digitized east African series - colonial era,,There are series from Christy in ISTI - ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/monthly/stage2/east-africa/,HOM01,,,Homogenized? No? ; Series examined and compared with series from different sources
64,USHCN,Contiguous USA,NOAA climate dataset used to quantify national and regional changes in temperature,,https://www.ncdc.noaa.gov/ushcn/data-access,HOM03,ca. 1893,Ongoing,Homogenized? Yes ; PHA algorithm used for homogeneity
65,AHCCD see above,Canada,Adjusted and Homogenized Canadian Climate Data reference temperature series,,https://www.researchgate.net/publication/249644161_A_Second_Generation_of_Homogenized_Canadian_Monthly_Surface_Air_Temperature_for_Climate_Trend_Analysis,HOM03,,Ongoing,Homogenized? Yes ; Multiple linear regression and penalized maximal test > homogeneity
66,SDATS,Spain,Spanish Daily Adjusted Temperature Series - 22 long series,,https://library.wmo.int/doc_num.php?explnum_id=9377,HOM03,,ca. 2012,Homogenized? Yes ; SNHT used for homogeneity - original paper lists end date as 2003
67,CLARIS,Chile,CLARIS -La Plata Basin - this project produced a long term daily hydro-meteorological dataset,,http://www.cima.fcen.uba.ar/ClarisLPB/,HOM01,,,Homogenized? No
68,"CMA, China",China,Contacts at the China Meteorological Administration have provided homogenized Tx and Tn for China,,liqingx5@mail.sysu.edu.cn,HOM02,ca. 1951,Ongoing,Homogenized? Yes ; MASH software used for homogenization?
69,"CMA, China",China,Collaboration with researchers in China provided long homogenized series - many now with other Scodes,,https://iopscience.iop.org/article/10.1088/1748-9326/aa68e8,HOM03,,,Homogenized? Yes ; Rhtests software + others used towards homogeneity
70,ISTI,Argentina,International Surface Temperature Initiative acquisitions,,ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/daily/stage2/argentina/,HOM01,,,Homogenized? No
71,ISTI,Uruguay,International Surface Temperature Initiative acquisitions (11 series) - most acquired new Scodes,,ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/daily/stage2/uruguay/,HOM00,,,Homogenized? No
72,,India,Tom Melvin,,,HOM01,,,Homogenized? No
73,ECA&D,Greater Europe,European Climate Assessment and Dataset - dataset extracted and supplied by KNMI,,https://www.ecad.eu/,HOM01,,,Homogenized? No
74,Climatic Research Unit,Falkland Is.,Data series put together for a project on Falklands ecology,,https://crudata.uea.ac.uk/cru/data/falklands/,HOM03,,,Homogenized? Yes ; Penalized Maximum F Test used
75,,Chile,Tom Melvin,,,HOM00,,,Homogenized? No
76,OPCC,Pyrenees,A new homogenized climate database for the Pyrenees (Climate Change Observatory in the Pyrenees),,https://static-m.meteo.cat/wordpressweb/wp-content/uploads/2015/04/29082117/Prohom-et-al_EMS2014_v2.pdf,HOM03,,ca. 2010,Homogenized? Yes ; Homogenization by HOMER
77,ISTI,Japan,Data held by the Internalional Surface Temperature Initiative - Tg available,,ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/daily/stage2/japan/,HOM01,,,Homogenized? No
78,ISTI,Uruguay,Data held by the Internalional Surface Temperature Initiative - Tx and Tn,,ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/daily/stage2/uruguay/,HOM01,,,Homogenized? No
79,ISTI,Colonial,Data held by the Internalional Surface Temperature Initiative - Tx and Tn,,ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/monthly/stage2/colonialera/,HOM00,,,Homogenized? No
80,SASSCAL,Angola,Southern African Science Service Centre for Climate Change and Adaptive Land Management,,https://www.sasscal.org/,HOM01,,,Homogenized? No
81,,Zimbabwe,Series provided by a visitor to the Climatic Research Unit - Tx and Tn,,,HOM01,,,Homogenized? No
82,Climatic Research Unit,African series,Early 1990s database additions by the Climatic Research Unit - Tx and Tn,,,HOM02,,,"Homogenized? No ; Probably from GHCN adjusted - if so, then PHA used for homogeneity"
83,Taiwan Central Weather Bureau,Taiwan,Data downloaded from the Taiwan Central Weather Bureau,,https://www.cwb.gov.tw/V8/C/,HOM01,,,Homogenized? No
84,Climatic Research Unit,Global,Data extracted grom GHCN v2,,https://www.ncdc.noaa.gov/data-access/land-based-station-data/land-based-datasets/global-historical-climatology-network-monthly-version-2,HOM02,,,"Homogenized? Yes ; Probably from GHVN adjusted - if so, then PHA used for homogeneity"
85,ASEAN,ASEAN countries,Data extracted from a CD-ROM distributed by the Malaysian Meteorological Service - all ASEAN nations,,No direct link to the ASEAN Compendium of Climate Statistics!!!!!,HOM01,,,Homogenized? No
86,IANIGLA-CONICET,Andean/Chilean,The result of collaboration with dendrochronologists in Chile and Argentina produced shared Tg series,,See https://www.pnas.org/content/117/29/16816 - This is related material!,HOM00,,,Homogenized? No
87,Egyptian Met. Authority,Egypt,Series due to collaboration between met authority personnel and the Climatic Research Unit,,,HOM01,,,Homogenized? No
88,NIWA,New Zealand,Homogenized series supplied on request to NIWA ( National Institute of Water and Atmospheric Research),,https://niwa.co.nz/our-science/climate/information-and-resources/nz-temp-record/review/changes/seven-station-series-temperature-data,HOM03,,Ongoing,Homogenized? Yes ; Rhoades and Salinger homogenization
89,IMS,Israel,Data received following a request to the Israeli Met. Service,,https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/joc.6125,HOM03,,,Homogenized? Yes ; ACMANT + HOMER used towards homogenization - see paper
90,LACA&D,Some of S. America,Latin American Climate Assessment and Dataset,,https://www.knmi.nl/research/observations-data-technology/projects/the-international-climate-assessment-dataset,HOM01,,,Homogenized? No
91,GHCN v4,Chile,GHCN v4 series used to replace one of the LACA&D Chilean series,,,HOM01,,,Homogenized? No
92,SMHI,Sweden,Swedish meteorological and Hydrological Institute downloads (SMHI portal) - many received new Scodes,,"https://www.smhi.se/data/meteorologi/ladda-ner-meteorologiska-observationer/#param=airtemperatureInstant,stations=all",HOM01,,,Homogenized? No
94,CLIMAT,Global,Data extracted from CLIMAT Bulletins - to include series new to CRUTEM - some have received new Scodes,,https://www.metoffice.gov.uk/hadobs/crutem4/data/climat_summary/index.html,HOM01,,,Homogenized? No
95,Icelandic Met. Office,Iceland,"Data downloaded from the IMO website - also, some further long series provided on request",,https://en.vedur.is/climatology/data/#a,HOM03/HOM01,,,Homogenized? Yes/No - some
96,CARIWIG,Caribbean,Caribbean Weather Impacts Group - observed climate series,,http://cariwig.caribbeanclimate.bz/point/  also see http://www.cariwig.org/ncl_portal/#history_data_viewer,HOM01,,,Homogenized? No
97,BMKG,Indonesia,"Climate data available from BMKG and can be downloaded (Badan Meteorologi, Klimatologi, dan Geofisika)",,http://dataonline.bmkg.go.id/home,HOM01,,,Homogenized? No
98,WWR,Global,The 2001-2010 decadal release of World Weather Records data is available online,,https://www.ncdc.noaa.gov/wdcmet/data-access-search-viewer-tools/world-weather-records-wwr-clearinghouse,HOM01,,,Homogenized? No
99,GHCN v4,Global,Global Historic Climatology Network - version v4 data available as adjusted and non adjusted,,https://www.ncdc.noaa.gov/data-access/land-based-station-data/land-based-datasets/global-historical-climatology-network-monthly-version-4,HOM01,,,Homogenized? No
